CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_segment
12347.0,7,1,711.79,3,1,5,9,315
12370.0,1,1,1590.82,5,1,5,11,515
12386.0,7,1,258.90000000000003,3,1,2,6,312
12395.0,11,1,346.1,2,1,3,6,213
12427.0,12,1,303.5,2,1,3,6,213
12429.0,6,1,1281.5,4,1,5,10,415
12431.0,14,1,358.25,1,1,3,5,113
12433.0,6,2,3787.12,4,4,5,13,445
12441.0,7,1,173.55,3,1,2,6,312
12471.0,5,2,2360.41,4,4,5,13,445
12472.0,9,1,1631.3,2,1,5,8,215
12476.0,1,1,12.45,5,1,1,7,511
12481.0,6,1,159.38,4,1,1,6,411
12494.0,6,1,57.6,4,1,1,6,411
12540.0,2,1,881.01,5,1,5,11,515
12557.0,12,1,620.0,2,1,4,7,214
12567.0,8,2,1942.38,3,4,5,12,345
12583.0,14,1,855.86,1,1,5,7,115
12600.0,12,1,76.5,2,1,1,4,211
12621.0,6,1,464.61,4,1,4,9,414
12647.0,8,3,968.8,3,5,5,13,355
12662.0,14,1,261.48,1,1,2,4,112
12681.0,8,1,1033.52,3,1,5,9,315
12682.0,5,2,1075.29,4,4,5,13,445
12683.0,6,2,1063.08,4,4,5,13,445
12686.0,12,1,89.14,2,1,1,4,211
12708.0,9,1,196.44,2,1,2,5,212
12709.0,7,1,522.7,3,1,4,8,314
12712.0,6,2,470.63,4,4,4,12,444
12720.0,9,1,473.39,2,1,4,7,214
12725.0,11,1,427.8,2,1,4,7,214
12731.0,5,1,1071.9,4,1,5,10,415
12738.0,12,1,155.35,2,1,1,4,211
12747.0,2,2,706.27,5,4,5,14,545
12748.0,1,26,3656.04,5,5,5,15,555
12753.0,3,1,3590.59,5,1,5,11,515
12755.0,6,1,3794.4,4,1,5,10,415
12763.0,9,1,320.08,2,1,3,6,213
12766.0,6,1,1149.29,4,1,5,10,415
12779.0,12,1,248.16,2,1,2,5,212
12785.0,4,1,311.95,4,1,3,8,413
12791.0,14,1,192.6,1,1,2,4,112
12793.0,11,1,131.8,2,1,1,4,211
12797.0,6,1,254.03,4,1,2,7,412
12808.0,9,1,129.4,2,1,1,4,211
12826.0,5,1,155.0,4,1,1,6,411
12838.0,14,1,390.79,1,1,4,6,114
12839.0,7,1,402.61,3,1,4,8,314
12841.0,10,2,505.99,2,4,4,10,244
12855.0,13,1,38.1,1,1,1,3,111
12868.0,14,1,203.3,1,1,2,4,112
12872.0,5,1,378.53,4,1,4,9,414
12875.0,3,1,293.76000000000005,5,1,3,9,513
12913.0,8,1,417.62,3,1,4,8,314
12915.0,13,1,199.65,1,1,2,4,112
12921.0,7,2,687.8000000000001,3,4,5,12,345
12942.0,6,1,258.75,4,1,2,7,412
12947.0,13,1,304.04,1,1,3,5,113
12963.0,6,1,365.8,4,1,3,8,413
12967.0,12,1,1368.4,2,1,5,8,215
12971.0,6,3,268.19,4,5,2,11,452
12989.0,5,1,202.5,4,1,2,7,412
13000.0,5,1,201.75,4,1,2,7,412
13011.0,12,1,50.55,2,1,1,4,211
13013.0,12,2,1528.34,2,4,5,11,245
13030.0,8,1,427.74,3,1,4,8,314
13034.0,9,1,165.86,2,1,2,5,212
13047.0,14,3,366.63,1,5,3,9,153
13050.0,1,2,628.9300000000001,5,4,4,13,544
13065.0,13,1,205.86,1,1,2,4,112
13069.0,2,4,644.12,5,5,5,15,555
13077.0,6,1,313.72,4,1,3,8,413
13078.0,7,1,514.39,3,1,4,8,314
13081.0,11,2,2366.78,2,4,5,11,245
13089.0,1,5,4570.16,5,5,5,15,555
13090.0,5,3,1008.4,4,5,5,14,455
13093.0,13,1,799.4,1,1,5,7,115
13094.0,9,1,223.68,2,1,2,5,212
13102.0,1,2,499.22,5,4,4,13,544
13108.0,13,1,350.06,1,1,3,5,113
13113.0,7,1,372.97,3,1,4,8,314
13117.0,5,2,388.15,4,4,4,12,444
13126.0,7,2,223.44,3,4,2,9,342
13138.0,12,1,193.23,2,1,2,5,212
13140.0,6,1,159.51,4,1,1,6,411
